Handle,Title,Tags,Published,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Taxable,Variant Barcode,Cost per item,Status,Photo,Info,Detail,Expiration_date (product.metafields.custom.expiration_date),Stock Status CR (product.metafields.custom.stock_cr),Stock Status NB (product.metafields.custom.stock_nb),Stock Status IN (product.metafields.custom.stock_in),Stock Status BR (product.metafields.custom.stock_br),Wholesaler,
빙그레 떡붕어 싸만코 150ml(BGR Samaco(Rice cake) 150ml),빙그레 떡붕어 싸만코 150ml(BGR Samaco(Rice cake) 150ml),Ice Cream,True,8801104306928,150,shopify,0,deny,manual,4.50,4.50,True,"=""8801104306928""",2.60,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,CFC,
빙그레 바나나 우유 200ml(BGR Banana Milk 200ml)[SINGLE],빙그레 바나나 우유 200ml(BGR Banana Milk 200ml)[SINGLE],Milk,TRUE,769828221591,200,shopify,26,deny,manual,3.10,3.10,TRUE,"=""769828221591""",,active,O,O,,-,6 Left,7 Left,7 Left,6 Left,,
빙그레 바나나 우유 200ml*6(BGR Banana Milk 200ml*6)[MULTI],빙그레 바나나 우유 200ml*6(BGR Banana Milk 200ml*6)[MULTI],Milk,TRUE,769828221607,1200,shopify,20,deny,manual,17.50,17.50,TRUE,"=""769828221607""",9.35,active,O,O,,-,5 Left,4 Left,5 Left,6 Left,KS,
빙그레 뽀로로와 친구들(치즈) 65g(BGR Pororo Biscuit(Cheese) 65g),빙그레 뽀로로와 친구들(치즈) 65g(BGR Pororo Biscuit(Cheese) 65g),Snacks,TRUE,8801104770439,65,shopify,0,deny,manual,3.70,3.70,TRUE,"=""8801104770439""",2.35,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,,
빙그레 뽕따 130ml(BGR Power Cap Ice Cream 130ml),빙그레 뽕따 130ml(BGR Power Cap Ice Cream 130ml),Ice Cream,TRUE,8801104111355,130,shopify,0,deny,manual,2.90,2.90,TRUE,"=""8801104111355""",1.65,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,KS,
사옹원 김말이튀김 300G(SOW Seaweed Roll Tempura 300G),사옹원 김말이튀김 300G(SOW Seaweed Roll Tempura 300G),"Frozen Foods, Mild, Anju",True,8809109117419,300,shopify,0,deny,manual,6.90,6.90,True,"=""8809109117419""",4.67,active,O,O,O,-,Out of stock,Out of stock,Out of stock,Out of stock,CFC,
사옹원 동태전 300G(SOW Sliced Pollack 300G),사옹원 동태전 300G(SOW Sliced Pollack 300G),"Frozen Foods, Mild",True,8809109117631,300,shopify,16,deny,manual,13.50,13.50,True,"=""8809109117631""",9.67,active,O,O,O,-,7 Left,6 Left,2 Left,1 Left,CFC,
사옹원 매콤김말이튀김 300g(SOW Deep Fried Seaweed Roll(Spicy) 300g),사옹원 매콤김말이튀김 300g(SOW Deep Fried Seaweed Roll(Spicy) 300g),"Frozen Foods, Spicy, Anju",TRUE,8809109112360,300,shopify,0,deny,manual,6.90,6.90,TRUE,"=""8809109112360""",7.00,active,O,O,O,-,Out of stock,Out of stock,Out of stock,Out of stock,CFC,
사옹원 부침명장 아삭김치전 300g(SOW Korean Kimchi Pancake 300g),사옹원 부침명장 아삭김치전 300g(SOW Korean Kimchi Pancake 300g),"Frozen Foods, Anju",True,8809109117495,300,shopify,43,deny,manual,8.50,8.50,True,"=""8809109117495""",5.27,active,O,O,O,-,In stock,7 Left,In stock,7 Left,CFC,
사옹원 부침명장 아삭부추전 300g(SOW Korean Chive Pancake 300g),사옹원 부침명장 아삭부추전 300g(SOW Korean Chive Pancake 300g),"Frozen Foods, Mild, Anju",True,8809109117488,300,shopify,20,deny,manual,8.50,8.50,True,"=""8809109117488""",5.27,active,O,O,O,-,6 Left,2 Left,8 Left,4 Left,CFC,
