Handle,Title,Tags,Published,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Taxable,Variant Barcode,Cost per item,Status,Photo,Info,Detail,Expiration_date (product.metafields.custom.expiration_date),Stock Status CR (product.metafields.custom.stock_cr),Stock Status NB (product.metafields.custom.stock_nb),Stock Status IN (product.metafields.custom.stock_in),Stock Status BR (product.metafields.custom.stock_br),Wholesaler,
CJ 썰은 김치 1kg(CJ Sliced Kimchi 1kg),CJ 썰은 김치 1kg(CJ Sliced Kimchi 1kg),"Kimchi, Banchan",TRUE,6921524182147,1000,shopify,0,deny,manual,12.70,12.70,TRUE,6921524182147,7.95,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,KF,
CJ 썰은 김치 500g(CJ Sliced Kimchi 500g),CJ 썰은 김치 500g(CJ Sliced Kimchi 500g),"Kimchi, Banchan",TRUE,6921524182130,500,shopify,0,deny,manual,7.20,7.20,TRUE,6921524182130,4.44,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,KF,
CJ 열무김치 450G(CJ BIBIGO YOUNG RADISH KIMCHI 450G),CJ 열무김치 450G(CJ BIBIGO YOUNG RADISH KIMCHI 450G),"Kimchi, Banchan",TRUE,8801392062094,450,shopify,31,deny,manual,11.90,11.90,TRUE,8801392062094,6.9,active,O,O,,-,7 Left,In stock,5 Left,9 Left,KF,
CJ 통새우만두 200G(CJ BIBIGO Mandu Whole Shrimp),CJ 통새우만두 200G(CJ BIBIGO Mandu Whole Shrimp),"Frozen Foods, New, Special",TRUE,8935297104464,200,shopify,76,deny,manual,6.75,7.50,TRUE,8935297104464,4.5,active,O,O,,Expiration date: 17/02/2026,In stock,In stock,In stock,In stock,KF,
CJ 포기김치 5KG(CJ Pogi Kimchi 5KG),CJ 포기김치 5KG(CJ Pogi Kimchi 5KG),"Kimchi, Banchan",TRUE,6921524180785,5000,shopify,0,deny,manual,32.50,32.50,TRUE,6921524180785,19.99,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,KF,
CJ 프리미엄 굴소스 500G(CJ PREMIUM OYSTER SAUCE 500G),CJ 프리미엄 굴소스 500G(CJ PREMIUM OYSTER SAUCE 500G),Sauces,TRUE,8801007683485,500,shopify,0,deny,manual,14.90,14.90,TRUE,8801007683485,6.66,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,KS,
CJ 해찬들 고기전용쌈장 450g(CJ Seasoned SoyBean Paste 450g),CJ 해찬들 고기전용쌈장 450g(CJ Seasoned SoyBean Paste 450g),"Paste, BBQ",TRUE,8801007053134,450,shopify,0,deny,manual,7.80,7.80,TRUE,8801007053134,5.15,active,O,O,O,-,Out of stock,Out of stock,Out of stock,Out of stock,KF,
CJ 해찬들 바지락꽃게 된장찌개 450g(CJ Soybean Paste For Stew 450g),CJ 해찬들 바지락꽃게 된장찌개 450g(CJ Soybean Paste For Stew 450g),"Broth, Special",TRUE,8801007053509,450,shopify,2,deny,manual,6.88,8.60,TRUE,8801007053509,5.7,active,O,O,,Expiration date: 25/08/2025,Out of stock,Out of stock,2 Left,Out of stock,KF,
CJ 해찬들 사계절쌈장 170g(CJ Seasoned S/B Paste(BBQ) 170g),CJ 해찬들 사계절쌈장 170g(CJ Seasoned Soy Bean Paste(BBQ) 170g),"Paste, BBQ",TRUE,8801007052816,170,shopify,66,deny,manual,2.99,2.99,TRUE,8801007052816,1.50,active,O,O,O,-,In stock,8 Left,In stock,In stock,CFC,
CJ 해찬들 사계절쌈장 500g(CJ Seasoned S/B Paste(BBQ) 500g),CJ 해찬들 사계절쌈장 500g(CJ Seasoned Soy Bean Paste(BBQ) 500g),"Paste, BBQ",TRUE,8801007052854,500,shopify,45,deny,manual,5.70,5.70,TRUE,8801007052854,3.00,active,O,O,O,-,In stock,8 Left,In stock,In stock,CFC,
CJ 해찬들 사과듬뿍 비빔장(비빔국수용) 290g(CJ Chilli Sauce For Noodles 290g),CJ 해찬들 사과듬뿍 비빔장(비빔국수용) 290g(CJ Chilli Sauce For Noodles 290g),"Sauces, Cold",TRUE,8801007406602,290,shopify,0,deny,manual,6.40,6.40,TRUE,8801007406602,3.98,active,O,O,O,-,Out of stock,Out of stock,Out of stock,Out of stock,KF,
CJ 해찬들 순한맛 골드고추장 1kg(CJ Chilli Paste(Mild) 1kg),CJ 해찬들 순한맛 골드고추장 1kg(CJ Chilli Paste(Mild) 1kg),Paste,TRUE,807176710722,1000,shopify,0,deny,manual,13.90,13.90,TRUE,807176710722,0,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,,
CJ 해찬들 순한맛 골드고추장 500G(CJ Chilli Paste(Mild) 500g),CJ 해찬들 순한맛 골드고추장 500G(CJ Chilli Paste(Mild) 500g),Paste,TRUE,807176710708,500,shopify,0,deny,manual,7.40,7.40,TRUE,807176710708,0,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,,
CJ 해찬들 재래식된장 1kg(CJ Soybean Paste 1kg),CJ 해찬들 재래식된장 1kg(CJ Soybean Paste 1kg),"Paste, Special",TRUE,8801007053394,1000,shopify,1,deny,manual,11.69,12.99,TRUE,8801007053394,5.66,active,O,O,,Expiration date: 03/12/2025,Out of stock,1 Left,Out of stock,Out of stock,KF,
CJ 해찬들 재래식된장 500g(CJ Soybean Paste 500g),CJ 해찬들 재래식된장 500g(CJ Soybean Paste 500g),Paste,TRUE,8801007053349,500,shopify,0,deny,manual,6.70,6.70,TRUE,8801007053349,2.63,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,KF,
